,Province/State,Country,Date last updated,Confirmed,Suspected,Recovered,Deaths
42,Inner Mongolia,Mainland China,1/22/2020 12:00,0.0,0.0,0.0,0.0
43,Jiangsu,Mainland China,1/22/2020 12:00,1.0,0.0,0.0,0.0
44,Jiangxi,Mainland China,1/22/2020 12:00,2.0,0.0,0.0,0.0
45,Jilin,Mainland China,1/22/2020 12:00,0.0,1.0,0.0,0.0
46,Liaoning,Mainland China,1/22/2020 12:00,2.0,0.0,0.0,0.0
47,Macau,Macau,1/22/2020 12:00,1.0,0.0,0.0,0.0
48,Ningxia,Mainland China,1/22/2020 12:00,1.0,0.0,0.0,0.0
49,Qinghai,Mainland China,1/22/2020 12:00,0.0,0.0,0.0,0.0
50,Shaanxi,Mainland China,1/22/2020 12:00,0.0,0.0,0.0,0.0
51,Shandong,Mainland China,1/22/2020 12:00,2.0,0.0,0.0,0.0
52,Shanghai,Mainland China,1/22/2020 12:00,9.0,10.0,0.0,0.0
53,Shanxi,Mainland China,1/22/2020 12:00,1.0,0.0,0.0,0.0
54,Sichuan,Mainland China,1/22/2020 12:00,5.0,2.0,0.0,0.0
55,Taiwan,Taiwan,1/22/2020 12:00,1.0,0.0,0.0,0.0
56,Tianjin,Mainland China,1/22/2020 12:00,4.0,0.0,0.0,0.0
57,Tibet,Mainland China,1/22/2020 12:00,0.0,0.0,0.0,0.0
58,Washington,United States,1/22/2020 12:00,1.0,0.0,0.0,0.0
59,Xinjiang,Mainland China,1/22/2020 12:00,0.0,0.0,0.0,0.0
60,Yunnan,Mainland China,1/22/2020 12:00,1.0,0.0,0.0,0.0
61,Zhejiang,Mainland China,1/22/2020 12:00,10.0,0.0,0.0,0.0
62,0,Japan,1/22/2020 12:00,2.0,0.0,0.0,0.0
63,0,Thailand,1/22/2020 12:00,2.0,0.0,0.0,0.0
64,0,South Korea,1/22/2020 12:00,1.0,0.0,0.0,0.0
65,Anhui,Mainland China,1/23/20 12:00 PM,9.0,4.0,0.0,0.0
66,Beijing,Mainland China,1/23/20 12:00 PM,22.0,0.0,0.0,0.0
67,Chongqing,Mainland China,1/23/20 12:00 PM,9.0,0.0,0.0,0.0
68,Fujian,Mainland China,1/23/20 12:00 PM,5.0,2.0,0.0,0.0
69,Gansu,Mainland China,1/23/20 12:00 PM,2.0,0.0,0.0,0.0
70,Guangdong,Mainland China,1/23/20 12:00 PM,32.0,1.0,2.0,0.0
71,Guangxi,Mainland China,1/23/20 12:00 PM,5.0,0.0,0.0,0.0
72,Guizhou,Mainland China,1/23/20 12:00 PM,3.0,0.0,0.0,0.0
73,Hainan,Mainland China,1/23/20 12:00 PM,5.0,32.0,0.0,0.0
74,Hebei,Mainland China,1/23/20 12:00 PM,1.0,0.0,0.0,1.0
75,Heilongjiang,Mainland China,1/23/20 12:00 PM,2.0,0.0,0.0,0.0
76,Henan,Mainland China,1/23/20 12:00 PM,5.0,0.0,0.0,0.0
77,Hong Kong,Hong Kong,1/23/20 12:00 PM,2.0,65.0,0.0,0.0
78,Hubei,Mainland China,1/23/20 12:00 PM,444.0,0.0,28.0,17.0
79,Hunan,Mainland China,1/23/20 12:00 PM,9.0,0.0,0.0,0.0
80,Inner Mongolia,Mainland China,1/23/20 12:00 PM,0.0,1.0,0.0,0.0
81,Jiangsu,Mainland China,1/23/20 12:00 PM,5.0,0.0,0.0,0.0
82,Jiangxi,Mainland China,1/23/20 12:00 PM,7.0,0.0,0.0,0.0
83,Jilin,Mainland China,1/23/20 12:00 PM,1.0,0.0,0.0,0.0
84,Liaoning,Mainland China,1/23/20 12:00 PM,3.0,0.0,0.0,0.0
85,Macau,Macau,1/23/20 12:00 PM,2.0,0.0,0.0,0.0
86,Ningxia,Mainland China,1/23/20 12:00 PM,1.0,0.0,0.0,0.0
87,Qinghai,Mainland China,1/23/20 12:00 PM,0.0,0.0,0.0,0.0
88,Shaanxi,Mainland China,1/23/20 12:00 PM,3.0,1.0,0.0,0.0
89,Shandong,Mainland China,1/23/20 12:00 PM,6.0,2.0,0.0,0.0
90,Shanghai,Mainland China,1/23/20 12:00 PM,16.0,22.0,0.0,0.0
91,Shanxi,Mainland China,1/23/20 12:00 PM,1.0,0.0,0.0,0.0
92,Sichuan,Mainland China,1/23/20 12:00 PM,8.0,2.0,0.0,0.0
93,Taiwan,Taiwan,1/23/20 12:00 PM,1.0,0.0,0.0,0.0
94,Tianjin,Mainland China,1/23/20 12:00 PM,4.0,0.0,0.0,0.0
95,Tibet,Mainland China,1/23/20 12:00 PM,0.0,0.0,0.0,0.0
96,Washington,United States,1/23/20 12:00 PM,1.0,0.0,0.0,0.0
97,Xinjiang,Mainland China,1/23/20 12:00 PM,2.0,0.0,0.0,0.0
98,Yunnan,Mainland China,1/23/20 12:00 PM,2.0,0.0,0.0,0.0
99,Zhejiang,Mainland China,1/23/20 12:00 PM,27.0,0.0,0.0,0.0
100,0,Japan,1/23/20 12:00 PM,1.0,0.0,0.0,0.0
101,0,Thailand,1/23/20 12:00 PM,3.0,0.0,0.0,0.0
102,0,South Korea,1/23/20 12:00 PM,1.0,0.0,0.0,0.0
103,0,Singapore,1/23/20 12:00 PM,1.0,0.0,0.0,0.0
104,0,Philippines,1/23/20 12:00 PM,0.0,4.0,0.0,0.0
105,0,Malaysia,1/23/20 12:00 PM,0.0,4.0,0.0,0.0
106,0,Vietnam,1/23/20 12:00 PM,2.0,0.0,0.0,0.0
107,0,Australia,1/23/20 12:00 PM,0.0,1.0,0.0,0.0
108,0,Mexico,1/23/20 12:00 PM,0.0,1.0,0.0,0.0
109,0,Brazil,1/23/20 12:00 PM,0.0,1.0,0.0,0.0
110,0,Colombia,1/23/20 12:00 PM,0.0,1.0,0.0,0.0
111,Hubei,Mainland China,1/24/2020 12:00 AM,549.0,0.0,31.0,24.0
112,Guangdong,Mainland China,1/24/2020 12:00 AM,53.0,0.0,2.0,0.0
113,Zhejiang,Mainland China,1/24/2020 12:00 AM,43.0,0.0,1.0,0.0
114,Beijing,Mainland China,1/24/2020 12:00 AM,26.0,22.0,0.0,0.0
115,Shanghai,Mainland China,1/24/2020 12:00 AM,20.0,0.0,0.0,0.0
116,Hunan,Mainland China,1/24/2020 12:00 AM,24.0,0.0,0.0,0.0
117,Anhui,Mainland China,1/24/2020 12:00 AM,15.0,4.0,0.0,0.0
118,Chongqing,Mainland China,1/24/2020 12:00 AM,27.0,13.0,0.0,0.0
119,Sichuan,Mainland China,1/24/2020 12:00 AM,15.0,4.0,0.0,0.0
120,Shandong,Mainland China,1/24/2020 12:00 AM,9.0,0.0,0.0,0.0
121,Guangxi,Mainland China,1/24/2020 12:00 AM,13.0,0.0,0.0,0.0
122,Fujian,Mainland China,1/24/2020 12:00 AM,5.0,2.0,0.0,0.0
123,Jiangsu,Mainland China,1/24/2020 12:00 AM,9.0,0.0,0.0,0.0
124,Henan,Mainland China,1/24/2020 12:00 AM,9.0,0.0,0.0,0.0
125,Hainan,Mainland China,1/24/2020 12:00 AM,8.0,32.0,0.0,0.0
126,Tianjin,Mainland China,1/24/2020 12:00 AM,5.0,0.0,0.0,0.0
127,Jiangxi,Mainland China,1/24/2020 12:00 AM,7.0,0.0,0.0,0.0
128,Shaanxi,Mainland China,1/24/2020 12:00 AM,3.0,0.0,0.0,0.0
129,Guizhou,Mainland China,1/24/2020 12:00 AM,3.0,0.0,0.0,0.0
130,Liaoning,Mainland China,1/24/2020 12:00 AM,4.0,0.0,0.0,0.0
131,Hong Kong,Hong Kong,1/24/2020 12:00 AM,2.0,36.0,0.0,0.0
132,Heilongjiang,Mainland China,1/24/2020 12:00 AM,4.0,0.0,0.0,1.0
133,Macau,Macau,1/24/2020 12:00 AM,2.0,0.0,0.0,0.0
134,Xinjiang,Mainland China,1/24/2020 12:00 AM,2.0,0.0,0.0,0.0
135,Gansu,Mainland China,1/24/2020 12:00 AM,2.0,0.0,0.0,0.0
136,Yunnan,Mainland China,1/24/2020 12:00 AM,2.0,0.0,0.0,0.0
137,Taiwan,Taiwan,1/24/2020 12:00 AM,1.0,0.0,0.0,0.0
138,Shanxi,Mainland China,1/24/2020 12:00 AM,1.0,0.0,0.0,0.0
139,Jilin,Mainland China,1/24/2020 12:00 AM,3.0,0.0,0.0,0.0
140,Hebei,Mainland China,1/24/2020 12:00 AM,2.0,0.0,0.0,1.0
141,Ningxia,Mainland China,1/24/2020 12:00 AM,1.0,0.0,0.0,0.0
142,Inner Mongolia,Mainland China,1/24/2020 12:00 AM,1.0,2.0,0.0,0.0
143,Washington,United States,1/24/2020 12:00 AM,1.0,0.0,0.0,0.0
144,0,Japan,1/24/2020 12:00 AM,2.0,0.0,0.0,0.0
145,0,Thailand,1/24/2020 12:00 AM,4.0,0.0,0.0,0.0
146,0,South Korea,1/24/2020 12:00 AM,1.0,0.0,0.0,0.0
147,0,Singapore,1/24/2020 12:00 AM,1.0,0.0,0.0,0.0
148,0,Vietnam,1/24/2020 12:00 AM,2.0,0.0,0.0,0.0
149,Hubei,Mainland China,1/24/2020 12:00 PM,549.0,0.0,31.0,24.0
150,Guangdong,Mainland China,1/24/2020 12:00 PM,53.0,0.0,2.0,0.0
151,Zhejiang,Mainland China,1/24/2020 12:00 PM,43.0,0.0,1.0,0.0
152,Beijing,Mainland China,1/24/2020 12:00 PM,36.0,0.0,1.0,0.0
153,Chongqing,Mainland China,1/24/2020 12:00 PM,27.0,13.0,0.0,0.0
154,Hunan,Mainland China,1/24/2020 12:00 PM,24.0,0.0,0.0,0.0
155,Guangxi,Mainland China,1/24/2020 12:00 PM,23.0,0.0,0.0,0.0
156,Shanghai,Mainland China,1/24/2020 12:00 PM,20.0,22.0,1.0,0.0
157,Jiangxi,Mainland China,1/24/2020 12:00 PM,18.0,0.0,0.0,0.0
158,Sichuan,Mainland China,1/24/2020 12:00 PM,15.0,4.0,0.0,0.0
159,Shandong,Mainland China,1/24/2020 12:00 PM,15.0,0.0,0.0,0.0
160,Anhui,Mainland China,1/24/2020 12:00 PM,15.0,4.0,0.0,0.0
161,Fujian,Mainland China,1/24/2020 12:00 PM,10.0,2.0,0.0,0.0
162,Henan,Mainland China,1/24/2020 12:00 PM,9.0,42.0,0.0,0.0
163,Jiangsu,Mainland China,1/24/2020 12:00 PM,9.0,0.0,0.0,0.0
164,Hainan,Mainland China,1/24/2020 12:00 PM,8.0,32.0,0.0,0.0
165,Tianjin,Mainland China,1/24/2020 12:00 PM,8.0,0.0,0.0,0.0
166,Yunnan,Mainland China,1/24/2020 12:00 PM,5.0,0.0,0.0,0.0
167,Shaanxi,Mainland China,1/24/2020 12:00 PM,5.0,0.0,0.0,0.0
168,Heilongjiang,Mainland China,1/24/2020 12:00 PM,4.0,0.0,0.0,1.0
169,Liaoning,Mainland China,1/24/2020 12:00 PM,4.0,0.0,0.0,0.0
170,Guizhou,Mainland China,1/24/2020 12:00 PM,3.0,0.0,0.0,0.0
171,Jilin,Mainland China,1/24/2020 12:00 PM,3.0,0.0,0.0,0.0
172,Taiwan,Taiwan,1/24/2020 12:00 PM,3.0,0.0,0.0,0.0
173,Ningxia,Mainland China,1/24/2020 12:00 PM,2.0,1.0,0.0,0.0
174,Hong Kong,Hong Kong,1/24/2020 12:00 PM,2.0,36.0,0.0,0.0
175,Macau,Macau,1/24/2020 12:00 PM,2.0,0.0,0.0,0.0
176,Hebei,Mainland China,1/24/2020 12:00 PM,2.0,0.0,0.0,1.0
177,Gansu,Mainland China,1/24/2020 12:00 PM,2.0,0.0,0.0,0.0
178,Xinjiang,Mainland China,1/24/2020 12:00 PM,2.0,0.0,0.0,0.0
179,Shanxi,Mainland China,1/24/2020 12:00 PM,1.0,0.0,0.0,0.0
180,Inner Mongolia,Mainland China,1/24/2020 12:00 PM,1.0,2.0,0.0,0.0
181,Qinghai,Mainland China,1/24/2020 12:00 PM,0.0,1.0,0.0,0.0
182,Washington,United States,1/24/2020 12:00 PM,1.0,0.0,0.0,0.0
183,Chicago,United States,1/24/2020 12:00 PM,1.0,0.0,0.0,0.0
184,0,Japan,1/24/2020 12:00 PM,2.0,0.0,0.0,0.0
185,0,Thailand,1/24/2020 12:00 PM,5.0,0.0,0.0,0.0
186,0,South Korea,1/24/2020 12:00 PM,2.0,0.0,0.0,0.0
187,0,Singapore,1/24/2020 12:00 PM,3.0,0.0,0.0,0.0
188,0,Vietnam,1/24/2020 12:00 PM,2.0,0.0,0.0,0.0
189,0,France,1/24/2020 4:00 PM,2.0,0.0,0.0,0.0
190,Hubei,Mainland China,1/25/2020 12:00 AM,729.0,0.0,32.0,39.0
191,Guangdong,Mainland China,1/25/2020 12:00 AM,78.0,0.0,2.0,0.0
192,Zhejiang,Mainland China,1/25/2020 12:00 AM,62.0,0.0,1.0,0.0
193,Chongqing,Mainland China,1/25/2020 12:00 AM,57.0,0.0,0.0,0.0
194,Hunan,Mainland China,1/25/2020 12:00 AM,43.0,0.0,0.0,0.0
195,Anhui,Mainland China,1/25/2020 12:00 AM,39.0,4.0,0.0,0.0
196,Beijing,Mainland China,1/25/2020 12:00 AM,36.0,0.0,1.0,0.0
197,Shanghai,Mainland China,1/25/2020 12:00 AM,33.0,22.0,1.0,0.0
198,Henan,Mainland China,1/25/2020 12:00 AM,32.0,1.0,0.0,0.0
199,Sichuan,Mainland China,1/25/2020 12:00 AM,28.0,4.0,0.0,0.0
200,Guangxi,Mainland China,1/25/2020 12:00 AM,23.0,0.0,0.0,0.0
201,Shandong,Mainland China,1/25/2020 12:00 AM,21.0,0.0,0.0,0.0
202,Jiangxi,Mainland China,1/25/2020 12:00 AM,18.0,0.0,0.0,0.0
203,Jiangsu,Mainland China,1/25/2020 12:00 AM,18.0,0.0,1.0,0.0
204,Hainan,Mainland China,1/25/2020 12:00 AM,17.0,0.0,0.0,0.0
205,Liaoning,Mainland China,1/25/2020 12:00 AM,15.0,0.0,0.0,0.0
206,Fujian,Mainland China,1/25/2020 12:00 AM,10.0,4.0,0.0,0.0
207,Heilongjiang,Mainland China,1/25/2020 12:00 AM,9.0,0.0,0.0,1.0
208,Tianjin,Mainland China,1/25/2020 12:00 AM,8.0,0.0,0.0,0.0
209,Hebei,Mainland China,1/25/2020 12:00 AM,8.0,0.0,0.0,1.0
210,Shanxi,Mainland China,1/25/2020 12:00 AM,6.0,0.0,0.0,0.0
211,Yunnan,Mainland China,1/25/2020 12:00 AM,5.0,0.0,0.0,0.0
212,Hong Kong,Hong Kong,1/25/2020 12:00 AM,5.0,36.0,0.0,0.0
213,Shaanxi,Mainland China,1/25/2020 12:00 AM,5.0,0.0,0.0,0.0
214,Guizhou,Mainland China,1/25/2020 12:00 AM,4.0,0.0,0.0,0.0
215,Jilin,Mainland China,1/25/2020 12:00 AM,4.0,0.0,0.0,0.0
216,Gansu,Mainland China,1/25/2020 12:00 AM,4.0,0.0,0.0,0.0
217,Ningxia,Mainland China,1/25/2020 12:00 AM,3.0,1.0,0.0,0.0
218,Taiwan,Taiwan,1/25/2020 12:00 AM,3.0,0.0,0.0,0.0
219,Xinjiang,Mainland China,1/25/2020 12:00 AM,3.0,0.0,0.0,0.0
220,Macau,Macau,1/25/2020 12:00 AM,2.0,0.0,0.0,0.0
221,Inner Mongolia,Mainland China,1/25/2020 12:00 AM,2.0,0.0,0.0,0.0
222,Qinghai,Mainland China,1/25/2020 12:00 AM,0.0,1.0,0.0,0.0
223,Washington,United States,1/25/2020 12:00 AM,1.0,0.0,0.0,0.0
224,Illinois,United States,1/25/2020 12:00 AM,1.0,0.0,0.0,0.0
225,0,Japan,1/25/2020 12:00 AM,2.0,0.0,0.0,0.0
226,0,Thailand,1/25/2020 12:00 AM,5.0,0.0,0.0,0.0
227,0,South Korea,1/25/2020 12:00 AM,2.0,0.0,0.0,0.0
228,0,Singapore,1/25/2020 12:00 AM,3.0,0.0,0.0,0.0
229,0,Vietnam,1/25/2020 12:00 AM,2.0,0.0,0.0,0.0
230,0,France,1/25/2020 12:00 AM,3.0,0.0,0.0,0.0
231,0,Australia,1/25/2020 12:00 AM,1.0,0.0,0.0,0.0
232,0,Nepal,1/25/2020 12:00 AM,1.0,0.0,0.0,0.0
233,0,Malaysia,1/25/2020 12:00 AM,3.0,0.0,0.0,0.0
234,Hubei,Mainland China,1/25/2020 12:00 PM,761.0,0.0,32.0,40.0
235,Guangdong,Mainland China,1/25/2020 12:00 PM,78.0,0.0,2.0,0.0
236,Zhejiang,Mainland China,1/25/2020 12:00 PM,62.0,0.0,1.0,0.0
237,Chongqing,Mainland China,1/25/2020 12:00 PM,57.0,0.0,0.0,0.0
238,Hunan,Mainland China,1/25/2020 12:00 PM,43.0,0.0,0.0,0.0
239,Beijing,Mainland China,1/25/2020 12:00 PM,41.0,0.0,2.0,0.0
240,Anhui,Mainland China,1/25/2020 12:00 PM,39.0,4.0,0.0,0.0
241,Shanghai,Mainland China,1/25/2020 12:00 PM,33.0,72.0,1.0,0.0
242,Henan,Mainland China,1/25/2020 12:00 PM,32.0,1.0,0.0,0.0
243,Sichuan,Mainland China,1/25/2020 12:00 PM,28.0,4.0,0.0,0.0
244,Shandong,Mainland China,1/25/2020 12:00 PM,27.0,0.0,0.0,0.0
245,Guangxi,Mainland China,1/25/2020 12:00 PM,23.0,0.0,0.0,0.0
246,Hainan,Mainland China,1/25/2020 12:00 PM,19.0,0.0,0.0,0.0
247,Jiangxi,Mainland China,1/25/2020 12:00 PM,18.0,0.0,0.0,0.0
248,Fujian,Mainland China,1/25/2020 12:00 PM,18.0,20.0,0.0,0.0
249,Jiangsu,Mainland China,1/25/2020 12:00 PM,18.0,0.0,1.0,0.0
250,Liaoning,Mainland China,1/25/2020 12:00 PM,17.0,0.0,0.0,0.0
251,Shaanxi,Mainland China,1/25/2020 12:00 PM,15.0,0.0,0.0,0.0
252,Yunnan,Mainland China,1/25/2020 12:00 PM,11.0,58.0,0.0,0.0
253,Tianjin,Mainland China,1/25/2020 12:00 PM,10.0,0.0,0.0,0.0
254,Heilongjiang,Mainland China,1/25/2020 12:00 PM,9.0,0.0,0.0,1.0
255,Hebei,Mainland China,1/25/2020 12:00 PM,8.0,0.0,0.0,1.0
256,Inner Mongolia,Mainland China,1/25/2020 12:00 PM,7.0,0.0,0.0,0.0
257,Shanxi,Mainland China,1/25/2020 12:00 PM,6.0,0.0,0.0,0.0
258,Hong Kong,Hong Kong,1/25/2020 12:00 PM,5.0,244.0,0.0,0.0
259,Guizhou,Mainland China,1/25/2020 12:00 PM,4.0,0.0,0.0,0.0
260,Jilin,Mainland China,1/25/2020 12:00 PM,4.0,0.0,0.0,0.0
261,Gansu,Mainland China,1/25/2020 12:00 PM,4.0,0.0,0.0,0.0
262,Ningxia,Mainland China,1/25/2020 12:00 PM,3.0,1.0,0.0,0.0
263,Taiwan,Taiwan,1/25/2020 12:00 PM,3.0,0.0,0.0,0.0
264,Xinjiang,Mainland China,1/25/2020 12:00 PM,3.0,0.0,0.0,0.0
265,Macau,Macau,1/25/2020 12:00 PM,2.0,0.0,0.0,0.0
266,Qinghai,Mainland China,1/25/2020 12:00 PM,1.0,0.0,0.0,0.0
267,Washington,United States,1/25/2020 12:00 PM,1.0,0.0,0.0,0.0
268,Illinois,United States,1/25/2020 12:00 PM,1.0,0.0,0.0,0.0
269,0,Japan,1/25/2020 12:00 PM,2.0,0.0,0.0,0.0
270,0,Thailand,1/25/2020 12:00 PM,7.0,0.0,0.0,0.0
271,0,South Korea,1/25/2020 12:00 PM,2.0,0.0,0.0,0.0
272,0,Singapore,1/25/2020 12:00 PM,3.0,0.0,0.0,0.0
273,0,Vietnam,1/25/2020 12:00 PM,2.0,0.0,0.0,0.0
274,0,France,1/25/2020 12:00 PM,3.0,0.0,0.0,0.0
275,0,Australia,1/25/2020 12:00 PM,4.0,0.0,0.0,0.0
276,0,Nepal,1/25/2020 12:00 PM,1.0,0.0,0.0,0.0
277,0,Malaysia,1/25/2020 12:00 PM,3.0,0.0,0.0,0.0
278,Hubei,Mainland China,1/25/2020 10:00 PM,1052.0,0.0,42.0,52.0
279,Zhejiang,Mainland China,1/25/2020 10:00 PM,104.0,0.0,1.0,0.0
280,Guangdong,Mainland China,1/25/2020 12:00 PM,98.0,0.0,2.0,0.0
281,Henan,Mainland China,1/25/2020 12:00 PM,83.0,3.0,0.0,1.0
282,Chongqing,Mainland China,1/25/2020 12:00 PM,75.0,0.0,0.0,0.0
283,Hunan,Mainland China,1/25/2020 12:00 PM,69.0,0.0,0.0,0.0
284,Anhui,Mainland China,1/25/2020 12:00 PM,60.0,4.0,0.0,0.0
285,Beijing,Mainland China,1/25/2020 12:00 PM,51.0,0.0,2.0,0.0
286,Sichuan,Mainland China,1/25/2020 12:00 PM,44.0,4.0,0.0,0.0
287,Shanghai,Mainland China,1/25/2020 12:00 PM,40.0,72.0,1.0,1.0
288,Shandong,Mainland China,1/25/2020 12:00 PM,39.0,0.0,0.0,0.0
289,Jiangxi,Mainland China,1/25/2020 12:00 PM,36.0,0.0,0.0,0.0
290,Guangxi,Mainland China,1/25/2020 12:00 PM,33.0,0.0,0.0,0.0
291,Jiangsu,Mainland China,1/25/2020 12:00 PM,31.0,0.0,1.0,0.0
292,Hainan,Mainland China,1/25/2020 12:00 PM,19.0,0.0,0.0,0.0
293,Liaoning,Mainland China,1/25/2020 12:00 PM,19.0,0.0,0.0,0.0
294,Fujian,Mainland China,1/25/2020 12:00 PM,18.0,20.0,0.0,1.0
295,Heilongjiang,Mainland China,1/25/2020 12:00 PM,15.0,0.0,0.0,0.0
296,Shaanxi,Mainland China,1/25/2020 12:00 PM,15.0,0.0,0.0,0.0
297,Tianjin,Mainland China,1/25/2020 12:00 PM,13.0,0.0,0.0,0.0
298,Hebei,Mainland China,1/25/2020 12:00 PM,13.0,0.0,0.0,1.0
299,Yunnan,Mainland China,1/25/2020 12:00 PM,11.0,58.0,0.0,0.0
300,Shanxi,Mainland China,1/25/2020 12:00 PM,9.0,0.0,0.0,0.0
301,Inner Mongolia,Mainland China,1/25/2020 12:00 PM,7.0,0.0,0.0,0.0
302,Gansu,Mainland China,1/25/2020 12:00 PM,7.0,0.0,0.0,0.0
303,Guizhou,Mainland China,1/25/2020 12:00 PM,5.0,0.0,0.0,0.0
304,Hong Kong,Hong Kong,1/25/2020 12:00 PM,5.0,244.0,0.0,0.0
305,Ningxia,Mainland China,1/25/2020 12:00 PM,4.0,1.0,0.0,0.0
306,Jilin,Mainland China,1/25/2020 12:00 PM,4.0,0.0,0.0,0.0
307,Xinjiang,Mainland China,1/25/2020 12:00 PM,4.0,0.0,0.0,0.0
308,Taiwan,Taiwan,1/25/2020 12:00 PM,3.0,0.0,0.0,0.0
309,Macau,Macau,1/25/2020 12:00 PM,2.0,0.0,0.0,0.0
310,Qinghai,Mainland China,1/25/2020 12:00 PM,1.0,0.0,0.0,0.0
311,Washington,United States,1/25/2020 12:00 PM,1.0,0.0,0.0,0.0
312,Illinois,United States,1/25/2020 12:00 PM,1.0,0.0,0.0,0.0
313,0,Japan,1/25/2020 12:00 PM,2.0,0.0,0.0,0.0
314,0,Thailand,1/25/2020 12:00 PM,7.0,0.0,0.0,0.0
315,0,South Korea,1/25/2020 12:00 PM,3.0,0.0,0.0,0.0
316,0,Singapore,1/25/2020 12:00 PM,3.0,0.0,0.0,0.0
317,0,Vietnam,1/25/2020 12:00 PM,2.0,0.0,0.0,0.0
318,0,France,1/25/2020 12:00 PM,3.0,0.0,0.0,0.0
319,0,Australia,1/25/2020 12:00 PM,4.0,0.0,0.0,0.0
320,0,Nepal,1/25/2020 12:00 PM,1.0,0.0,0.0,0.0
321,0,Malaysia,1/25/2020 12:00 PM,3.0,0.0,0.0,0.0
322,Hubei,Mainland China,1/26/2020 11:00 AM,1058.0,0.0,42.0,52.0
323,Guangdong,Mainland China,1/26/2020 11:00 AM,111.0,0.0,2.0,0.0
324,Zhejiang,Mainland China,1/26/2020 11:00 AM,104.0,0.0,1.0,0.0
325,Henan,Mainland China,1/26/2020 11:00 AM,83.0,3.0,0.0,1.0
326,Chongqing,Mainland China,1/26/2020 11:00 AM,75.0,0.0,0.0,0.0
327,Hunan,Mainland China,1/26/2020 11:00 AM,69.0,0.0,0.0,0.0
328,Beijing,Mainland China,1/26/2020 11:00 AM,68.0,0.0,2.0,0.0
329,Anhui,Mainland China,1/26/2020 11:00 AM,60.0,4.0,0.0,0.0
330,Shandong,Mainland China,1/26/2020 11:00 AM,46.0,0.0,0.0,0.0
331,Sichuan,Mainland China,1/26/2020 11:00 AM,44.0,4.0,0.0,0.0
332,Shanghai,Mainland China,1/26/2020 11:00 AM,40.0,72.0,1.0,1.0
